fit_intercept,regularization,reg_c,train_acc,val_acc,test_acc
False,none,0.3,0.670375,0.602,
False,none,1.0,0.67075,0.5995,
False,none,3.0,0.671125,0.5995,
False,L1,0.3,0.670875,0.6005,
False,L1,1.0,0.6705,0.598,
False,L1,3.0,0.67075,0.597,
False,L2,0.3,0.67,0.602,
False,L2,1.0,0.671,0.599,
False,L2,3.0,0.67075,0.5985,
True,none,0.3,0.67425,0.602,
True,none,1.0,0.675625,0.599,
True,none,3.0,0.67625,0.5995,
True,L1,0.3,0.67425,0.603,0.5995
True,L1,1.0,0.6755,0.601,
True,L1,3.0,0.6765,0.5995,
True,L2,0.3,0.674,0.6015,
True,L2,1.0,0.6765,0.599,
True,L2,3.0,0.6765,0.599,
